id;Full_Name;Project_id;Nomination;Prize;login;password
265;Агап Владиленович Алексеев;8851;Лидеры инноваций;NULL;Агап_ВА;YpDu2Prf0W
266;Кира Романовна Кудрявцева;4945;Молодой новатор;1562000;Кира_РК;AF2JMrhxeX
267;Добромысл Аверьянович Попов;2854;Лидеры инноваций;858000;Добромысл_АП;K(YQhtJKwN
268;Фаина Макаровна Крюкова;8031;Меняющие реальность;1179000;Фаина_МК;VZqpNa5J9Q
269;Ульяна Аркадьевна Тимофеева;5627;Молодой новатор;1972000;Ульяна_АТ;G(J3VO.An!
270;Прасковья Эльдаровна Моисеева;1604;Лидеры инноваций;1673000;Прасковья_ЭМ;lZr96ahRSC
271;Кондратий Александрович Доронин;5022;Лидеры инноваций;1256000;Кондратий_АД;Vm7KF?SUAg
272;Полина Никифоровна Сазонова;7779;Двигатель прогресса;2879000;Полина_НС;grVNg4Mdhl
273;Любовь Степановна Лапина;6106;Молодой новатор;254000;Любовь_СЛ;y4TS2ANnN0
274;Никон Бориславович Князев;4817;Двигатель прогресса;2890000;Никон_БК;8!t(EV5c!T
275;Маргарита Ниловна Блинова;2236;Двигатель прогресса;2727000;Маргарита_НБ;jmrc?EI.Hf
276;Евграф Георгиевич Громов;2088;Проект будущего;2692000;Евграф_ГГ;2zmcuV5bSo
277;Екатерина Леонидовна Герасимова;4535;Двигатель прогресса;1901000;Екатерина_ЛГ;UmHKF51T!U
278;Карп Арсеньевич Горшков;1206;Молодой новатор;952000;Карп_АГ;N87mzlrpdx
279;Фортунат Валерианович Ермаков;1080;Проект будущего;378000;Фортунат_ВЕ;s7sT8wYTpt
280;Маргарита Игоревна Горбачева;5387;Лидеры инноваций;2958000;Маргарита_ИГ;.xQyyR0(Jd
281;Вероника Никифоровна Егорова;3701;Меняющие реальность;1344000;Вероника_НЕ;9g0RiDPunH
282;Наум Всеволодович Прохоров;4237;Молодой новатор;2391000;Наум_ВП;imLscQFZK?
283;Василий Харламович Бобылев;7603;Меняющие реальность;2318000;Василий_ХБ;DwpsBeYh6y
284;Евфросиния Ждановна Кудряшова;8557;Молодой новатор;899000;Евфросиния_ЖК;pdkM9v5SUr
285;Фадей Жанович Лыткин;6503;Меняющие реальность;985000;Фадей_ЖЛ;MWqqLgxsUe
286;Фирс Жанович Афанасьев;3973;Проект будущего;1673000;Фирс_ЖА;V.uDVm8LRh
287;Дарья Романовна Миронова;1305;Проект будущего;2992000;Дарья_РМ;HlpxaCl!bQ
288;Анастасия Андреевна Кузьмина;4056;Лидеры инноваций;291000;Анастасия_АК;5iHJaI1mw1
289;Святослав Васильевич Мишин;2067;Меняющие реальность;1749000;Святослав_ВМ;zTP?JK3AyD
290;Фёкла Макаровна Коновалова;7134;Молодой новатор;1690000;Фёкла_МК;8D2J8Sa7sn
291;Полина Рубеновна Хохлова;3821;Меняющие реальность;1155000;Полина_РХ;D2lkmiVc!d
292;Акулина Даниловна Данилова;2292;Молодой новатор;1535000;Акулина_ДД;MvnuD0G8(7
293;Зоя Ивановна Симонова;1070;Двигатель прогресса;864000;Зоя_ИС;TpYwnwLMD6
294;Нинель Натановна Маслова;7779;Меняющие реальность;1042000;Нинель_НМ;qhOEE5s0(1
295;Нинель Львовна Ковалева;6007;Проект будущего;2781000;Нинель_ЛК;Z!I0Mqs9VH
296;Евпраксия Степановна Логинова;6428;Лидеры инноваций;2001000;Евпраксия_СЛ;f)tFZ00?cy
297;Синклитикия Вениаминовна Зимина;4214;Двигатель прогресса;327000;Синклитикия_ВЗ;Xrq9pahQkd
298;Мечислав Викентьевич Рыбаков;1443;Лидеры инноваций;1069000;Мечислав_ВР;O(h5ZyQb4)
299;Платон Филимонович Попов;7954;Меняющие реальность;1013000;Платон_ФП;wUdmPFyiyT
300;Валерия Богдановна Шашкова;3106;Проект будущего;2730000;Валерия_БШ;b0ExcK0RUH
301;Изот Якубович Филатов;3561;Двигатель прогресса;2638000;Изот_ЯФ;36.dG.QKHr
302;Валерий Игнатьевич Максимов;3296;Проект будущего;143000;Валерий_ИМ;5fFNlpTzi?
303;Эмилия Олеговна Морозова;1604;Лидеры инноваций;357000;Эмилия_ОМ;N8THVaQTdI
304;Фаина Аркадьевна Королева;7821;Меняющие реальность;2301000;Фаина_АК;?JIbZdMU9!
305;Карл Ильясович Бирюков;6517;Лидеры инноваций;2973000;Карл_ИБ;GpmLlyUW6k
306;Агафья Артемовна Ершова;9454;Лидеры инноваций;1342000;Агафья_АЕ;8m9HsC)?5M
307;Исай Эдгарович Мартынов;5379;Двигатель прогресса;379000;Исай_ЭМ;OaObHkU)1e
308;Федор Харлампович Фомичев;7090;Двигатель прогресса;1842000;Федор_ХФ;3)zOVRA8Lm
309;Афанасий Ильич Петухов;3898;Двигатель прогресса;2682000;Афанасий_ИП;3MNCgLKbp3
310;Агафья Владиславовна Павлова;2172;Меняющие реальность;1235000;Агафья_ВП;pgYdb01!rt
311;Григорий Афанасьевич Муравьев;2152;Лидеры инноваций;1345000;Григорий_АМ;ToZ(bCxP0M
312;Нинель Антоновна Калашникова;4923;Проект будущего;1316000;Нинель_АК;QJrjIOfiiL
313;Януарий Давыдович Мухин;7197;Меняющие реальность;1644000;Януарий_ДМ;FUdJTy.mSS
314;Алла Олеговна Куликова;5906;Двигатель прогресса;1167000;Алла_ОК;JoUcak7dZH
315;Ананий Елисеевич Лукин;2200;Двигатель прогресса;1454000;Ананий_ЕЛ;(oqCJB2O33
316;Дарья Афанасьевна Симонова;6761;Молодой новатор;1323000;Дарья_АС;p6txhL52)Y
317;Евгения Тимуровна Цветкова;3393;Молодой новатор;2979000;Евгения_ТЦ;wE)QGb7Hlj
318;Рубен Геннадиевич Громов;1604;Лидеры инноваций;1417000;Рубен_ГГ;4mnCd7bZHK
319;Василиса Петровна Котова;7134;Проект будущего;2815000;Василиса_ПК;TcKlU?Jm?i
320;Савва Валерианович Фадеев;3952;Меняющие реальность;2440000;Савва_ВФ;iZZzWR9FC6
321;Панкрат Владиславович Бобров;1420;Двигатель прогресса;2515000;Панкрат_ВБ;aNUCzL5yBx
322;Кира Феликсовна Лобанова;5003;Лидеры инноваций;1682000;Кира_ФЛ;rmGQ17DIwn
323;Сигизмунд Гурьевич Лобанов;4945;Двигатель прогресса;2742000;Сигизмунд_ГЛ;z6AZuNLRZ0
324;Любовь Борисовна Никонова;2987;Лидеры инноваций;1965000;Любовь_БН;oW2?bzz0uu
325;Любомир Вилорович Терентьев;2172;Меняющие реальность;2949000;Любомир_ВТ;czxn0lfYYh
326;Максим Власович Кудрявцев;9961;Меняющие реальность;2079000;Максим_ВК;WCogdok6A.
327;Сократ Ерофеевич Антонов;8031;Двигатель прогресса;2086000;Сократ_ЕА;Q7yq8o7cj1
328;Ирина Артемовна Зуева;2822;Проект будущего;2481000;Ирина_АЗ;EnTJIRhzP2
329;Лазарь Фёдорович Лапин;4201;Меняющие реальность;2788000;Лазарь_ФЛ;?aqm40uR?I
330;Прокл Анатольевич Баранов;4058;Лидеры инноваций;NULL;Прокл_АБ;?(OMcCzaR9
331;Мартын Исидорович Мишин;1754;Проект будущего;545000;Мартын_ИМ;JU.397zsYl
332;Потап Якубович Князев;7078;Молодой новатор;2932000;Потап_ЯК;JwQAb(kBnj
333;София Львовна Шубина;4143;Лидеры инноваций;1761000;София_ЛШ;Xlv6DvFQll
334;Раиса Геннадиевна Кондратьева;3556;Молодой новатор;2070000;Раиса_ГК;UD5VhsqXJ)
335;Вера Эдуардовна Воробьева;1206;Меняющие реальность;677000;Вера_ЭВ;HfNSSEOxqo
336;Стоян Марсович Кириллов;4097;Меняющие реальность;888000;Стоян_МК;?ApiVl96Xo
337;Феоктист Еремеевич Кононов;1266;Двигатель прогресса;2749000;Феоктист_ЕК;5XF.jBYaQ8
338;Лучезар Аверьянович Селиверстов;7702;Молодой новатор;2786000;Лучезар_АС;FFyLnKSbZh
339;Евфросиния Робертовна Шашкова;2897;Двигатель прогресса;1848000;Евфросиния_РШ;xBqwu0wH1H
340;Порфирий Евстигнеевич Лыткин;4307;Молодой новатор;NULL;Порфирий_ЕЛ;Q79PleOagX
341;Жанна Феликсовна Васильева;1904;Меняющие реальность;1524000;Жанна_ФВ;WN(SlYXiFt
342;Пелагея Кирилловна Гаврилова;7211;Меняющие реальность;2236000;Пелагея_КГ;AxikZtOUHb
343;Валентин Бенедиктович Гордеев;1775;Лидеры инноваций;639000;Валентин_БГ;!j6!dz1YFf
344;Евдокия Константиновна Власова;4201;Молодой новатор;1005000;Евдокия_КВ;nPTis.!cwN
345;Евфросиния Викторовна Ермакова;4495;Меняющие реальность;256000;Евфросиния_ВЕ;QI7K?2IHyU
346;Фёкла Сергеевна Ковалева;8165;Двигатель прогресса;691000;Фёкла_СК;MLnk9CaifX
347;Полина Дмитриевна Кулакова;7003;Лидеры инноваций;2769000;Полина_ДК;JpyiIVkVeO
348;Елена Робертовна Кудряшова;7293;Проект будущего;1247000;Елена_РК;q5?Xfy42qa
349;Наталья Эльдаровна Воробьева;4724;Лидеры инноваций;812000;Наталья_ЭВ;aSJhjJpwYU
350;Лариса Аскольдовна Иванова;1832;Двигатель прогресса;2477000;Лариса_АИ;F9vVf(AlqM
351;Феофан Захарьевич Петухов;5981;Двигатель прогресса;2100000;Феофан_ЗП;NqHJHPHs1x
352;Евсей Гурьевич Горбачев;5699;Меняющие реальность;2439000;Евсей_ГГ;RqmzHnaSSG
353;Лидия Федоровна Новикова;3855;Двигатель прогресса;459000;Лидия_ФН;dH6q.2k9WE
354;Лука Абрамович Устинов;7349;Двигатель прогресса;305000;Лука_АУ;?w2Jwr0OQs
355;Гедеон Ермолаевич Петухов;7922;Двигатель прогресса;262000;Гедеон_ЕП;w3eiCeel2x
356;Нестор Харлампович Кононов;9719;Двигатель прогресса;2248000;Нестор_ХК;V9djo7iMeW
357;Будимир Гавриилович Котов;8526;Двигатель прогресса;707000;Будимир_ГК;UeG?SDlZ)1
358;Исидор Власович Родионов;5332;Меняющие реальность;1258000;Исидор_ВР;y8!PdFW)DZ
359;Наталья Афанасьевна Шестакова;6485;Проект будущего;925000;Наталья_АШ;1zC7K.VT!)
360;Николай Эдуардович Гаврилов;5387;Меняющие реальность;NULL;Николай_ЭГ;AadPhDT9AC
361;Юрий Устинович Кононов;8684;Двигатель прогресса;1151000;Юрий_УК;aIAgc7HS4a
362;Любовь Никифоровна Прохорова;9578;Проект будущего;1067000;Любовь_НП;)3y0)zvuWZ
363;Харлампий Бенедиктович Анисимов;6761;Молодой новатор;2104000;Харлампий_БА;scRe7uhTY0
364;Оксана Анатольевна Блинова;3701;Лидеры инноваций;420000;Оксана_АБ;m7L2Cj7NPt
365;Ксения Феликсовна Галкина;6735;Меняющие реальность;2811000;Ксения_ФГ;Quxic2bIHR
366;Октябрина Робертовна Игнатьева;6155;Лидеры инноваций;899000;Октябрина_РИ;Qkc0tVtRak
367;Гурий Брониславович Кудрявцев;6415;Лидеры инноваций;1217000;Гурий_БК;uS4HZQIXt!
368;София Харитоновна Гордеева;3356;Молодой новатор;2970000;София_ХГ;NF)emnds1g
369;Зинаида Никифоровна Пестова;8851;Лидеры инноваций;2119000;Зинаида_НП;0cY)Qer2Z0
370;Сократ Ильясович Веселов;1266;Лидеры инноваций;171000;Сократ_ИВ;GaBewMQn)v
371;Аникита Викентьевич Родионов;8287;Лидеры инноваций;271000;Аникита_ВР;RVy7ko!uKC
372;Эмилия Викторовна Лобанова;8287;Двигатель прогресса;2120000;Эмилия_ВЛ;u4lrG48vGC
373;Аристарх Устинович Шубин;8080;Лидеры инноваций;953000;Аристарх_УШ;C8Y?hen(9V
374;Ярополк Давидович Поляков;8587;Меняющие реальность;1323000;Ярополк_ДП;bKy5.)V50X
375;Полина Николаевна Мишина;7524;Двигатель прогресса;NULL;Полина_НМ;vcBeHeQE).
376;Светлана Яковлевна Лазарева;7762;Лидеры инноваций;1166000;Светлана_ЯЛ;HPW6eTyAZt
377;Алексей Жоресович Савельев;5078;Проект будущего;1591000;Алексей_ЖС;vpciQLvyUV
378;Панкрат Артурович Чернов;7293;Молодой новатор;982000;Панкрат_АЧ;nDsDTGtv7g
379;Евстигней Ермолаевич Фадеев;5379;Проект будущего;927000;Евстигней_ЕФ;DKwjbgpYIa
380;Тихон Фокич Смирнов;9178;Двигатель прогресса;1220000;Тихон_ФС;HhubIWINk8
381;Устин Эдуардович Мишин;9465;Меняющие реальность;2036000;Устин_ЭМ;0NY(JU37D8
382;Валерия Архиповна Шашкова;2726;Меняющие реальность;1165000;Валерия_АШ;J9m0BmG7lP
383;Полина Ефимовна Казакова;9251;Проект будущего;1739000;Полина_ЕК;xrN9w1GnnQ
384;Дорофей Ефремович Соболев;3128;Меняющие реальность;1452000;Дорофей_ЕС;aOqUNcYZEe
385;Павел Афанасьевич Комаров;6506;Меняющие реальность;327000;Павел_АК;9BgoCxZ9W9
386;Галактион Ефимович Наумов;9516;Лидеры инноваций;2520000;Галактион_ЕН;1Y1NowM530
387;Анжела Богдановна Егорова;6891;Меняющие реальность;722000;Анжела_БЕ;xzJaS731N5
388;Анжелика Архиповна Трофимова;5491;Меняющие реальность;NULL;Анжелика_АТ;R8oJhCHP2Z
389;Вячеслав Иларионович Кононов;1904;Проект будущего;2070000;Вячеслав_ИК;hHI!9qHVnN
390;Фома Августович Красильников;4428;Лидеры инноваций;NULL;Фома_АК;0a)IvLxoGd
391;Ипат Феодосьевич Ефремов;5045;Проект будущего;NULL;Ипат_ФЕ;BDVQTCImv6
392;Ратибор Захарьевич Васильев;5211;Молодой новатор;190000;Ратибор_ЗВ;AEvtskw635
393;Татьяна Егоровна Моисеева;8185;Проект будущего;2503000;Татьяна_ЕМ;rZwht2)!bg
394;Фотий Афанасьевич Логинов;3383;Молодой новатор;2912000;Фотий_АЛ;a1NsxC)8rE
395;Парфен Глебович Одинцов;3554;Меняющие реальность;693000;Парфен_ГО;Dmo)!ub6JD
396;Мефодий Харлампьевич Овчинников;2034;Проект будущего;1061000;Мефодий_ХО;(.bT.FSPkW
397;Серафим Архипович Мельников;9110;Проект будущего;2604000;Серафим_АМ;40JqtnBR(n
398;Вера Валериевна Кузнецова;6790;Проект будущего;2471000;Вера_ВК;yrccsC5Z2!
399;Анна Евгеньевна Дроздова;9110;Проект будущего;2852000;Анна_ЕД;jgQanF?Wd8
400;Виктория Эльдаровна Голубева;1300;Проект будущего;NULL;Виктория_ЭГ;7BaMBplqwL
